repo_full_name,repo_name,owner_login,primary_language,private,archived,homepage,html_url,topics,description,global_score,score_label,confidence,raw_score,total_penalties,architecture_structure,documentation_delivery,testing_reliability,technical_depth,portfolio_relevance,maintainability_cleanliness,penalty_count,portfolio_decision,executive_summary,portfolio_rationale,recruiter_signal,priority_actions,blockers,quick_wins
MatALass/3D_HOP,3D_HOP,MatALass,JavaScript,False,False,,https://github.com/MatALass/3D_HOP,,,22.05,weak,0.8,36.05,14.0,5.0,6.4,0.0,5.25,9.4,10.0,4,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 22.05/100 (weak). Primary language: JavaScript. Detected issues: 9. Confidence: 0.80.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Document exactly how to run and use the project. | Build a core automated test suite. | Introduce a clearer source-code structure. | Add a concise GitHub description.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add a usage section with concrete run examples. | Add installation/setup commands to the README. | Add a basic GitHub Actions workflow for validation. | Add a concise GitHub repository description.
MatALass/Analyse-des-Avis-et-Alertes-ANSSI,Analyse-des-Avis-et-Alertes-ANSSI,MatALass,HTML,False,False,,https://github.com/MatALass/Analyse-des-Avis-et-Alertes-ANSSI,,"Cybersecurity project analyzing ANSSI advisories and CVEs with enriched datasets, Python scripts, and Jupyter notebooks. Includes data preprocessing, AI/game logic, and reports for vulnerability insights.",28.6,weak,0.75,39.6,11.0,3.0,13.4,0.0,6.0,12.6,4.6,3,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 28.60/100 (weak). Primary language: HTML. Detected issues: 9. Confidence: 0.75.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Review large committed files and keep only necessary assets. | Expose a demo or homepage link when relevant.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.
MatALass/Atelier_Alassoeur_Website,Atelier_Alassoeur_Website,MatALass,CSS,False,False,http://www.atelier-alassoeur.com/,https://github.com/MatALass/Atelier_Alassoeur_Website,,"A simple web project with an HTML page styled by CSS and supported by image assets. It showcases sketches, photos, and logos, serving as a lightweight visual portfolio or presentation site.",25.0,weak,0.75,36.0,11.0,3.0,10.0,0.0,6.0,12.0,5.0,3,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 25.00/100 (weak). Primary language: CSS. Detected issues: 8. Confidence: 0.75.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Document exactly how to run and use the project. | Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add a usage section with concrete run examples. | Add installation/setup commands to the README. | Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation.
MatALass/Boardswipe,Boardswipe,MatALass,JavaScript,False,False,,https://github.com/MatALass/Boardswipe,"backend, board-games, community, database, frontend, javascript, recommendation-system, school-project, swipe-ui, web-application","BoardSwipe is an interactive web application for board game enthusiasts, allowing users to discover, rate, and share games through a swipe-based system, while connecting with a community of passionate players.",21.5,weak,0.8,35.5,14.0,3.0,8.4,0.0,4.5,10.4,9.2,4,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 21.50/100 (weak). Primary language: JavaScript. Detected issues: 9. Confidence: 0.80.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Document exactly how to run and use the project. | Build a core automated test suite. | Introduce a clearer source-code structure. | Remove generated build/cache artifacts.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add a usage section with concrete run examples. | Add installation/setup commands to the README. | Delete generated build/package artifacts from the repository. | Add a basic GitHub Actions workflow for validation.
MatALass/CanAdventure,CanAdventure,MatALass,Vue,False,False,,https://github.com/MatALass/CanAdventure,"babel, eslint, frontend, javascript, modern-js, spa, tailwindcss, vue, vuejs, webapp","A Vue.js frontend application starter with ESLint, Babel, and Tailwind CSS for scalable modern web development.",50.2,fair,0.85,58.2,8.0,11.0,16.2,0.0,6.0,15.4,9.6,2,MERGE_OR_REPOSITION,"This repository has some useful signals, but it is not yet strong enough for confident portfolio presentation. Final score: 50.20/100 (fair). Primary language: Vue. Detected issues: 6. Confidence: 0.85.","The repository contains some useful elements, but its current delivery is not strong enough on its own. It may be better improved, repositioned, or merged with a related project.","Weak recruiter signal. The repository may reflect effort, but the presentation and engineering quality are not yet convincing.",Build a core automated test suite. | Review large committed files and keep only necessary assets. | Expose a demo or homepage link when relevant.,Missing automated tests weakens engineering credibility significantly.,Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.
MatALass/GreenEscape,GreenEscape,MatALass,Python,False,False,https://green-escape.onrender.com/api/register-page/,https://github.com/MatALass/GreenEscape,"django, fun, game, maze, mongodb, web-development","Are you smarter than an algorithm? In this game, you're thrown into a maze. Take your time, analyze the path, then go for it and try to reach the exit as fast as possible. But be careful — you're not alone: three algorithms are racing with you… Will they be faster than you?",25.3,weak,0.8,39.3,14.0,3.0,10.8,0.0,4.5,11.8,9.2,4,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 25.30/100 (weak). Primary language: Python. Detected issues: 9. Confidence: 0.80.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Document exactly how to run and use the project. | Build a core automated test suite. | Introduce a clearer source-code structure. | Delete committed __pycache__ directories.,Missing automated tests weakens engineering credibility significantly. | Committed __pycache__ folders reduce professionalism and should be cleaned immediately. | Overall repository quality is currently too low for safe portfolio presentation.,Add a usage section with concrete run examples. | Remove Python cache artifacts from version control. | Add a basic GitHub Actions workflow for validation.
MatALass/ML_Football,ML_Football,MatALass,Jupyter Notebook,False,False,,https://github.com/MatALass/ML_Football,,"A Python project for sports and data analysis using multiple Excel files. Includes a main script and datasets to test, modify, and compute results, with IDE configuration files for easy development and reproducibility.",28.1,weak,0.75,38.6,10.5,0.0,15.0,0.0,6.0,12.6,5.0,3,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 28.10/100 (weak). Primary language: Jupyter Notebook. Detected issues: 9. Confidence: 0.75.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Expose a demo or homepage link when relevant.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.
MatALass/Puissance4,Puissance4,MatALass,Python,False,False,,https://github.com/MatALass/Puissance4,,"AI-powered Connect Four (12x6) with Minimax, alpha-beta pruning, heuristics, and real-time decision-making. Play against the AI in the console with strategic depth and optimized performance.",28.0,weak,0.75,36.5,8.5,3.0,11.4,0.0,4.5,12.6,5.0,2,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 28.00/100 (weak). Primary language: Python. Detected issues: 8. Confidence: 0.75.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Expose a demo or homepage link when relevant.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.
MatALass/Signature-carre-des-canotiers,Signature-carre-des-canotiers,MatALass,HTML,False,False,,https://github.com/MatALass/Signature-carre-des-canotiers,"assets, branding, documentation, email-signature, email-template, github-pages, gmail, html-email, outlook, template","Signature email standardisée pour le Carré des Canotiers : templates HTML email-safe, assets versionnés, variantes (full/compact/texte) et guide d’intégration Gmail/Outlook + matrice de compatibilité.",33.9,weak,0.85,45.4,11.5,5.0,10.4,0.0,6.0,14.8,9.2,3,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 33.90/100 (weak). Primary language: HTML. Detected issues: 8. Confidence: 0.85.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Build a core automated test suite. | Introduce a clearer source-code structure. | Remove generated build/cache artifacts.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Delete generated build/package artifacts from the repository. | Add a basic GitHub Actions workflow for validation.
MatALass/Space-Jumper,Space-Jumper,MatALass,Python,False,False,,https://github.com/MatALass/Space-Jumper,,"Space-Jumper: a Python-based arcade game—built by Mathieu Alassoeur, Samuel Da Silva, Roland Fontanes, Max Bortolotti, and Raphaël Thebault. Run `main.py` to play. Features intuitive controls, scoring, images, and sound for an engaging experience.",26.2,weak,0.75,37.7,11.5,3.0,12.0,0.0,7.5,11.0,4.2,3,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 26.20/100 (weak). Primary language: Python. Detected issues: 8. Confidence: 0.75.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Delete committed __pycache__ directories.,Missing automated tests weakens engineering credibility significantly. | Committed __pycache__ folders reduce professionalism and should be cleaned immediately. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a proper .gitignore file. | Remove Python cache artifacts from version control. | Add a basic GitHub Actions workflow for validation.
MatALass/Space_Jumper_Website,Space_Jumper_Website,MatALass,HTML,False,False,,https://github.com/MatALass/Space_Jumper_Website,,"A static web game project with HTML, CSS, and JavaScript. Includes multiple pages (game, quiz, tutorial, ranking), custom styles, interactive scripts, images, and a gameplay video to provide a complete browser-based experience.",31.4,weak,0.75,41.4,10.0,3.0,13.8,0.0,6.0,14.0,4.6,3,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 31.40/100 (weak). Primary language: HTML. Detected issues: 9. Confidence: 0.75.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Review large committed files and keep only necessary assets. | Expose a demo or homepage link when relevant.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.
MatALass/Tetris_Game,Tetris_Game,MatALass,Python,False,False,,https://github.com/MatALass/Tetris_Game,,,0.0,weak,0.6,13.7,21.5,2.0,0.0,0.0,4.5,3.0,4.2,4,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 0.00/100 (weak). Primary language: Python. Detected issues: 9. Confidence: 0.60.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Write a complete README. | Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Delete committed __pycache__ directories. | Add a concise GitHub description.,Missing README is a major blocker for both delivery and portfolio visibility. | Missing automated tests weakens engineering credibility significantly. | Committed __pycache__ folders reduce professionalism and should be cleaned immediately. | Overall repository quality is currently too low for safe portfolio presentation.,"Write a complete README with setup, usage, and project purpose. | Add a proper .gitignore file. | Remove Python cache artifacts from version control. | Add a basic GitHub Actions workflow for validation. | Add a concise GitHub repository description."
MatALass/UML-Project,UML-Project,MatALass,Vue,False,False,,https://github.com/MatALass/UML-Project,,"A Vue-based project with a Node.js backend serving dynamic content driven by `ingredients.json`. Built with `server.js`, package managed via npm. Seamlessly combines frontend (Vue, HTML, JS) and backend to deliver interactive UI backed by structured data.",46.55,fair,0.85,55.05,8.5,11.0,13.8,0.0,8.25,12.0,10.0,2,MAKE_PRIVATE,"This repository has some useful signals, but it is not yet strong enough for confident portfolio presentation. Final score: 46.55/100 (fair). Primary language: Vue. Detected issues: 6. Confidence: 0.85.",The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Weak recruiter signal. The repository may reflect effort, but the presentation and engineering quality are not yet convincing.",Document exactly how to run and use the project. | Build a core automated test suite. | Expose a demo or homepage link when relevant.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add a usage section with concrete run examples. | Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.
MatALass/automata-toolkit,automata-toolkit,MatALass,Python,False,False,,https://github.com/MatALass/automata-toolkit,"algorithms, automata, cli-tool, dfa, finite-automata, graphviz, nfa, python, software-engineering","Production-grade CLI tool to parse, validate, and transform finite automata (determinization, minimization, recognition) with strong test coverage and clean architecture.",91.25,excellent,1.0,91.25,0,20.0,14.6,14.25,15.0,17.4,10.0,0,FEATURE_NOW,This repository already shows strong portfolio quality and professional delivery potential. Final score: 91.25/100 (excellent). Primary language: Python. Detected issues: 2. Confidence: 1.00.,"The repository is already strong enough to be featured directly: it shows credible structure, acceptable delivery quality, and a positive portfolio signal.","Strong recruiter signal. The repository appears structured, understandable, and credible as a featured engineering project.",Expose a demo or homepage link when relevant.,,Add installation/setup commands to the README. | Add a homepage or demo link if the project has a runnable output.
MatALass/between-light,between-light,MatALass,Game Maker Language,False,False,,https://github.com/MatALass/between-light,"2d, arcade, game, gamemaker, gml, personal, prototype",2D arcade game prototype built with GameMaker Language.,32.35,weak,0.85,43.35,11.0,3.0,13.2,0.0,3.75,13.8,9.6,3,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 32.35/100 (weak). Primary language: Game Maker Language. Detected issues: 7. Confidence: 0.85.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Build a core automated test suite. | Introduce a clearer source-code structure. | Review large committed files and keep only necessary assets.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a basic GitHub Actions workflow for validation.
MatALass/binwatch,binwatch,MatALass,HTML,False,False,https://binwatch.vercel.app,https://github.com/MatALass/binwatch,"analytics, computer-vision, data-engineering, express, flask, full-stack, image-classification, javascript, postgresql, python, railway, smart-city, waste-management","Full-stack smart waste monitoring app that classifies bin status from images, stores inspection history, and exposes analytics-ready data with Flask, Express, PostgreSQL, and HTML/CSS/JavaScript.",64.6,good,0.85,70.6,6.0,15.0,18.0,0.0,12.0,15.6,10.0,1,MERGE_OR_REPOSITION,This repository is promising but still needs several improvements before it should be featured confidently. Final score: 64.60/100 (good). Primary language: HTML. Detected issues: 3. Confidence: 0.85.,"The repository contains some useful elements, but its current delivery is not strong enough on its own. It may be better improved, repositioned, or merged with a related project.","Mixed recruiter signal. The project may have value, but the current delivery still creates doubt.",Build a core automated test suite.,Missing automated tests weakens engineering credibility significantly.,Add a basic GitHub Actions workflow for validation.
MatALass/contact-card,contact-card,MatALass,HTML,False,False,,https://github.com/MatALass/contact-card,"contact-card, email-signature, github-pages, html, personal-website","Minimal HTML contact card / email signature with links (LinkedIn, GitHub).",37.55,weak,0.8,46.05,8.5,3.0,11.8,0.0,5.25,16.0,10.0,2,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 37.55/100 (weak). Primary language: HTML. Detected issues: 7. Confidence: 0.80.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Build a core automated test suite. | Introduce a clearer source-code structure. | Expose a demo or homepage link when relevant.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.
MatALass/dataviz-dashboard,dataviz-dashboard,MatALass,Jupyter Notebook,False,False,,https://github.com/MatALass/dataviz-dashboard,"business-intelligence, dashboard, data-analytics, data-storytelling, data-visualization, open-data, python, socio-demographics, streamlit",Interactive Streamlit dashboard analyzing socio-demographic and digital factors influencing cultural consumption in France using open public data.,31.95,weak,0.75,45.45,13.5,4.0,15.6,0.0,8.25,13.8,3.8,4,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 31.95/100 (weak). Primary language: Jupyter Notebook. Detected issues: 8. Confidence: 0.75.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Delete committed __pycache__ directories. | Review large committed files and keep only necessary assets.,Missing automated tests weakens engineering credibility significantly. | Committed __pycache__ folders reduce professionalism and should be cleaned immediately. | Overall repository quality is currently too low for safe portfolio presentation.,Add a proper .gitignore file. | Remove Python cache artifacts from version control. | Add a basic GitHub Actions workflow for validation.
MatALass/email-signature,email-signature,MatALass,HTML,False,False,,https://github.com/MatALass/email-signature,,,35.15,weak,0.75,43.65,8.5,5.0,15.4,0.0,5.25,13.0,5.0,2,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 35.15/100 (weak). Primary language: HTML. Detected issues: 6. Confidence: 0.75.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Add a concise GitHub description. | Expose a demo or homepage link when relevant.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation. | Add a concise GitHub repository description. | Add a homepage or demo link if the project has a runnable output.
MatALass/final_portfolio,final_portfolio,MatALass,TypeScript,False,False,https://final-portfolio-eosin-seven.vercel.app,https://github.com/MatALass/final_portfolio,,,45.4,fair,0.8,51.4,6.0,10.0,11.8,0.0,6.0,13.6,10.0,1,MAKE_PRIVATE,"This repository has some useful signals, but it is not yet strong enough for confident portfolio presentation. Final score: 45.40/100 (fair). Primary language: TypeScript. Detected issues: 7. Confidence: 0.80.",The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Weak recruiter signal. The repository may reflect effort, but the presentation and engineering quality are not yet convincing.",Build a core automated test suite. | Add a concise GitHub description.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a basic GitHub Actions workflow for validation. | Add a concise GitHub repository description.
MatALass/footpredict-pl,footpredict-pl,MatALass,Python,False,False,,https://github.com/MatALass/footpredict-pl,"backtesting, data-science, elo-rating, feature-engineering, football, machine-learning, pandas, predictive-modeling, python, rapidapi, scikit-learn, soccer, sofascore, sports-analytics, streamlit","Premier League match prediction (Home Win) with Elo + form features, walk-forward backtesting, and Streamlit dashboard.",63.95,good,0.8,69.95,6.0,15.0,18.2,0.0,12.75,14.0,10.0,1,MERGE_OR_REPOSITION,This repository is promising but still needs several improvements before it should be featured confidently. Final score: 63.95/100 (good). Primary language: Python. Detected issues: 4. Confidence: 0.80.,"The repository contains some useful elements, but its current delivery is not strong enough on its own. It may be better improved, repositioned, or merged with a related project.","Mixed recruiter signal. The project may have value, but the current delivery still creates doubt.",Build a core automated test suite. | Expose a demo or homepage link when relevant.,Missing automated tests weakens engineering credibility significantly.,Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.
MatALass/merge-tactics-optimizer,merge-tactics-optimizer,MatALass,Python,False,False,,https://github.com/MatALass/merge-tactics-optimizer,"beam-search, cli, combinatorial-optimization, deck-builder, game-ai, optimization, python",Deck optimizer using trait synergies (pairs ≥2) and beam search — Clash Royale-inspired.,56.95,fair,0.8,62.95,6.0,12.0,17.2,0.0,9.75,14.0,10.0,1,MERGE_OR_REPOSITION,"This repository has some useful signals, but it is not yet strong enough for confident portfolio presentation. Final score: 56.95/100 (fair). Primary language: Python. Detected issues: 4. Confidence: 0.80.","The repository contains some useful elements, but its current delivery is not strong enough on its own. It may be better improved, repositioned, or merged with a related project.","Weak recruiter signal. The repository may reflect effort, but the presentation and engineering quality are not yet convincing.",Build a core automated test suite. | Expose a demo or homepage link when relevant.,Missing automated tests weakens engineering credibility significantly.,Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.
MatALass/morpion-ultime,morpion-ultime,MatALass,JavaScript,False,False,https://matalass.github.io/morpion-ultime/,https://github.com/MatALass/morpion-ultime,"ai-game, algorithm-visualization, alpha-beta-pruning, game-ai, game-theory, javascript, mcts, minimax, monte-carlo-tree-search, tic-tac-toe, ultimate-tic-tac-toe, web-page","Ultimate Tic-Tac-Toe web app with AI (Minimax, Alpha-Beta, MCTS), move analysis, heatmaps and game replay.",65.75,good,1.0,70.25,4.5,6.0,17.0,9.75,7.5,20.0,10.0,2,KEEP_AND_IMPROVE,This repository is promising but still needs several improvements before it should be featured confidently. Final score: 65.75/100 (good). Primary language: JavaScript. Detected issues: 4. Confidence: 1.00.,"The repository has real value and should remain visible, but targeted improvements would make it significantly safer and stronger for portfolio use.","Mixed recruiter signal. The project may have value, but the current delivery still creates doubt.",Introduce a clearer source-code structure.,,
MatALass/network-flow-algorithms,network-flow-algorithms,MatALass,Python,False,False,,https://github.com/MatALass/network-flow-algorithms,"algorithms, benchmarking, ford-fulkerson, graph-algorithms, matplotlib, max-flow, min-cost-flow, network-flow, operations-research, optimization, push-relabel, python, tkinter","Python project implementing and benchmarking network flow algorithms (Ford-Fulkerson, Push-Relabel, Min-Cost Flow) with test cases, traces, plotting, and a Tkinter GUI.",62.8,good,0.85,68.8,6.0,15.0,16.4,0.0,12.0,15.4,10.0,1,MERGE_OR_REPOSITION,This repository is promising but still needs several improvements before it should be featured confidently. Final score: 62.80/100 (good). Primary language: Python. Detected issues: 4. Confidence: 0.85.,"The repository contains some useful elements, but its current delivery is not strong enough on its own. It may be better improved, repositioned, or merged with a related project.","Mixed recruiter signal. The project may have value, but the current delivery still creates doubt.",Build a core automated test suite. | Expose a demo or homepage link when relevant.,Missing automated tests weakens engineering credibility significantly.,Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.
MatALass/repo-audit,repo-audit,MatALass,Python,False,False,,https://github.com/MatALass/repo-audit,"audit, automation, cli, code-quality, developer-tools, devops, github, html-report, monorepo, open-source, python, repository, security, static-analysis","Audit any developer project ZIP (multi-stack, monorepo) and generate actionable Markdown/JSON/HTML reports with optional safe fixes.",75.6,strong,1.0,75.6,0,14.0,13.2,10.5,13.5,14.4,10.0,0,KEEP_AND_IMPROVE,"This repository is strong overall, with a good technical base and a few improvement opportunities. Final score: 75.60/100 (strong). Primary language: Python. Detected issues: 2. Confidence: 1.00.","The repository has real value and should remain visible, but targeted improvements would make it significantly safer and stronger for portfolio use.","Positive recruiter signal. The repository is credible, but a few delivery improvements would make it safer to highlight prominently.",,,
MatALass/repo_auditor,repo_auditor,MatALass,Python,False,False,,https://github.com/MatALass/repo_auditor,,,73.35,good,0.95,78.85,5.5,19.0,18.8,11.25,9.0,11.6,9.2,2,KEEP_AND_IMPROVE,This repository is promising but still needs several improvements before it should be featured confidently. Final score: 73.35/100 (good). Primary language: Python. Detected issues: 4. Confidence: 0.95.,"The repository has real value and should remain visible, but targeted improvements would make it significantly safer and stronger for portfolio use.","Mixed recruiter signal. The project may have value, but the current delivery still creates doubt.",Run automated tests in CI. | Remove generated build/cache artifacts. | Add a concise GitHub description. | Expose a demo or homepage link when relevant.,,Delete generated build/package artifacts from the repository. | Add a basic GitHub Actions workflow for validation. | Connect the existing tests to CI. | Add a concise GitHub repository description. | Add a homepage or demo link if the project has a runnable output.
MatALass/school-bus-dashboard,school-bus-dashboard,MatALass,Python,False,False,,https://github.com/MatALass/school-bus-dashboard,"business-intelligence, dashboard, data-analytics, decision-support, kpi, python, streamlit, sustainability, transportation",Streamlit dashboard analyzing operational and environmental data related to electric school buses to support decision-making.,34.45,weak,0.75,44.95,10.5,3.0,15.2,0.0,9.75,12.4,4.6,3,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 34.45/100 (weak). Primary language: Python. Detected issues: 8. Confidence: 0.75.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Review large committed files and keep only necessary assets.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation.
MatALass/vct-emea-kickoff-simulator,vct-emea-kickoff-simulator,MatALass,Python,False,False,,https://github.com/MatALass/vct-emea-kickoff-simulator,"analystics, bracket, esports, python, simulation, streamlit, valorant",Streamlit app to simulate VCT EMEA Kickoff (2026) triple-elimination bracket and build an interactive worst→best team ranking.,53.8,fair,0.8,59.8,6.0,11.0,14.4,0.0,12.0,12.4,10.0,1,MERGE_OR_REPOSITION,"This repository has some useful signals, but it is not yet strong enough for confident portfolio presentation. Final score: 53.80/100 (fair). Primary language: Python. Detected issues: 4. Confidence: 0.80.","The repository contains some useful elements, but its current delivery is not strong enough on its own. It may be better improved, repositioned, or merged with a related project.","Weak recruiter signal. The repository may reflect effort, but the presentation and engineering quality are not yet convincing.",Build a core automated test suite.,Missing automated tests weakens engineering credibility significantly.,Add a basic GitHub Actions workflow for validation.
