repo_name,repo_full_name,executive_summary,portfolio_decision,portfolio_rationale,recruiter_signal,strengths_count,weaknesses_count,blockers_count,quick_wins_count,priority_actions_count,strengths,weaknesses,blockers,quick_wins,priority_actions
3D_HOP,MatALass/3D_HOP,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 22.05/100 (weak). Primary language: JavaScript. Detected issues: 9. Confidence: 0.80.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",3,7,2,4,4,README is present with approximately 6 words. | .gitignore is present. | Documentation assets or screenshots were detected.,README exists but remains too short for strong portfolio communication. | README does not clearly explain installation or setup. | README does not clearly explain how to run or use the project. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | Repository description is missing or empty on GitHub.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add a usage section with concrete run examples. | Add installation/setup commands to the README. | Add a basic GitHub Actions workflow for validation. | Add a concise GitHub repository description.,Document exactly how to run and use the project. | Build a core automated test suite. | Introduce a clearer source-code structure. | Add a concise GitHub description.
Analyse-des-Avis-et-Alertes-ANSSI,MatALass/Analyse-des-Avis-et-Alertes-ANSSI,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 27.60/100 (weak). Primary language: HTML. Detected issues: 9. Confidence: 0.75.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",3,7,2,4,5,README is present with approximately 189 words. | README includes usage instructions. | README documents the project structure or architecture.,README does not clearly explain installation or setup. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | .gitignore is missing. | Repository contains oversized files that reduce delivery quality. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.,Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Review large committed files and keep only necessary assets. | Expose a demo or homepage link when relevant.
Atelier_Alassoeur_Website,MatALass/Atelier_Alassoeur_Website,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 25.00/100 (weak). Primary language: CSS. Detected issues: 8. Confidence: 0.75.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",4,6,2,4,4,README is present with approximately 122 words. | README documents the project structure or architecture. | Repository exposes a homepage or demo URL. | Documentation assets or screenshots were detected.,README does not clearly explain installation or setup. | README does not clearly explain how to run or use the project. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | .gitignore is missing.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add a usage section with concrete run examples. | Add installation/setup commands to the README. | Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation.,Document exactly how to run and use the project. | Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore.
automata-toolkit,MatALass/automata-toolkit,This repository already shows strong portfolio quality and professional delivery potential. Final score: 91.25/100 (excellent). Primary language: Python. Detected issues: 2. Confidence: 1.00.,FEATURE_NOW,"The repository is already strong enough to be featured directly: it shows credible structure, acceptable delivery quality, and a positive portfolio signal.","Strong recruiter signal. The repository appears structured, understandable, and credible as a featured engineering project.",10,2,0,2,1,Repository uses a dedicated src/ directory. | Repository exposes a top-level tests/ directory. | README is present with approximately 229 words. | README includes usage instructions. | README documents the project structure or architecture. | Automated tests detected (10 test file(s)). | Testing framework(s) detected: pytest. | CI appears to run automated tests. | .gitignore is present. | Documentation assets or screenshots were detected.,README does not clearly explain installation or setup. | No homepage or demo link was detected.,,Add installation/setup commands to the README. | Add a homepage or demo link if the project has a runnable output.,Expose a demo or homepage link when relevant.
between-light,MatALass/between-light,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 32.35/100 (weak). Primary language: Game Maker Language. Detected issues: 7. Confidence: 0.85.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",5,6,2,2,3,README is present with approximately 252 words. | README includes usage instructions. | README documents the project structure or architecture. | .gitignore is present. | Documentation assets or screenshots were detected.,README does not clearly explain installation or setup. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | Repository contains oversized files that reduce delivery quality. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a basic GitHub Actions workflow for validation.,Build a core automated test suite. | Introduce a clearer source-code structure. | Review large committed files and keep only necessary assets.
binwatch,MatALass/binwatch,This repository is promising but still needs several improvements before it should be featured confidently. Final score: 64.60/100 (good). Primary language: HTML. Detected issues: 3. Confidence: 0.85.,MERGE_OR_REPOSITION,"The repository contains some useful elements, but its current delivery is not strong enough on its own. It may be better improved, repositioned, or merged with a related project.","Mixed recruiter signal. The project may have value, but the current delivery still creates doubt.",7,2,1,1,1,Repository uses a dedicated src/ directory. | README is present with approximately 443 words. | README includes installation or setup guidance. | README includes usage instructions. | README documents the project structure or architecture. | .gitignore is present. | Repository exposes a homepage or demo URL.,No automated tests were detected. | No CI workflow was detected.,Missing automated tests weakens engineering credibility significantly.,Add a basic GitHub Actions workflow for validation.,Build a core automated test suite.
Boardswipe,MatALass/Boardswipe,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 21.50/100 (weak). Primary language: JavaScript. Detected issues: 9. Confidence: 0.80.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",2,7,2,4,4,README is present with approximately 270 words. | .gitignore is present.,README does not clearly explain installation or setup. | README does not clearly explain how to run or use the project. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | Generated build or cache artifacts appear to be committed. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add a usage section with concrete run examples. | Add installation/setup commands to the README. | Delete generated build/package artifacts from the repository. | Add a basic GitHub Actions workflow for validation.,Document exactly how to run and use the project. | Build a core automated test suite. | Introduce a clearer source-code structure. | Remove generated build/cache artifacts.
CanAdventure,MatALass/CanAdventure,"This repository has some useful signals, but it is not yet strong enough for confident portfolio presentation. Final score: 50.20/100 (fair). Primary language: Vue. Detected issues: 6. Confidence: 0.85.",MERGE_OR_REPOSITION,"The repository contains some useful elements, but its current delivery is not strong enough on its own. It may be better improved, repositioned, or merged with a related project.","Weak recruiter signal. The repository may reflect effort, but the presentation and engineering quality are not yet convincing.",7,4,1,2,3,Repository uses a dedicated src/ directory. | README is present with approximately 205 words. | README includes installation or setup guidance. | README includes usage instructions. | README documents the project structure or architecture. | .gitignore is present. | Documentation assets or screenshots were detected.,No automated tests were detected. | No CI workflow was detected. | Repository contains oversized files that reduce delivery quality. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly.,Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.,Build a core automated test suite. | Review large committed files and keep only necessary assets. | Expose a demo or homepage link when relevant.
contact-card,MatALass/contact-card,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 37.55/100 (weak). Primary language: HTML. Detected issues: 7. Confidence: 0.80.,ARCHIVE_PUBLIC,"The repository is currently too weak to feature, but it may still remain public as an archive or learning artifact if it does not confuse the portfolio narrative.","Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",4,4,2,3,3,README is present with approximately 142 words. | README includes usage instructions. | .gitignore is present. | Documentation assets or screenshots were detected.,README does not clearly explain installation or setup. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.,Build a core automated test suite. | Introduce a clearer source-code structure. | Expose a demo or homepage link when relevant.
dataviz-dashboard,MatALass/dataviz-dashboard,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 31.95/100 (weak). Primary language: Jupyter Notebook. Detected issues: 8. Confidence: 0.75.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",5,6,3,3,5,README is present with approximately 373 words. | README includes installation or setup guidance. | README includes usage instructions. | README documents the project structure or architecture. | Documentation assets or screenshots were detected.,Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | .gitignore is missing. | Repository contains oversized files that reduce delivery quality. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly. | Committed __pycache__ folders reduce professionalism and should be cleaned immediately. | Overall repository quality is currently too low for safe portfolio presentation.,Add a proper .gitignore file. | Remove Python cache artifacts from version control. | Add a basic GitHub Actions workflow for validation.,Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Delete committed __pycache__ directories. | Review large committed files and keep only necessary assets.
email-signature,MatALass/email-signature,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 35.15/100 (weak). Primary language: HTML. Detected issues: 6. Confidence: 0.75.,ARCHIVE_PUBLIC,"The repository is currently too weak to feature, but it may still remain public as an archive or learning artifact if it does not confuse the portfolio narrative.","Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",4,6,2,5,5,README is present with approximately 345 words. | README includes usage instructions. | README documents the project structure or architecture. | Documentation assets or screenshots were detected.,README does not clearly explain installation or setup. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | .gitignore is missing. | Repository description is missing or empty on GitHub.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation. | Add a concise GitHub repository description. | Add a homepage or demo link if the project has a runnable output.,Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Add a concise GitHub description. | Expose a demo or homepage link when relevant.
final_portfolio,MatALass/final_portfolio,"This repository has some useful signals, but it is not yet strong enough for confident portfolio presentation. Final score: 45.40/100 (fair). Primary language: TypeScript. Detected issues: 7. Confidence: 0.80.",ARCHIVE_PUBLIC,"The repository is currently too weak to feature, but it may still remain public as an archive or learning artifact if it does not confuse the portfolio narrative.","Weak recruiter signal. The repository may reflect effort, but the presentation and engineering quality are not yet convincing.",6,4,1,3,2,Repository uses a dedicated app/ directory. | README is present with approximately 155 words. | README includes usage instructions. | .gitignore is present. | Repository exposes a homepage or demo URL. | Documentation assets or screenshots were detected.,README does not clearly explain installation or setup. | No automated tests were detected. | No CI workflow was detected. | Repository description is missing or empty on GitHub.,Missing automated tests weakens engineering credibility significantly.,Add installation/setup commands to the README. | Add a basic GitHub Actions workflow for validation. | Add a concise GitHub repository description.,Build a core automated test suite. | Add a concise GitHub description.
footpredict-pl,MatALass/footpredict-pl,This repository is promising but still needs several improvements before it should be featured confidently. Final score: 63.95/100 (good). Primary language: Python. Detected issues: 4. Confidence: 0.80.,MERGE_OR_REPOSITION,"The repository contains some useful elements, but its current delivery is not strong enough on its own. It may be better improved, repositioned, or merged with a related project.","Mixed recruiter signal. The project may have value, but the current delivery still creates doubt.",6,3,1,2,2,Repository uses a dedicated src/ directory. | README is present with approximately 628 words. | README includes installation or setup guidance. | README includes usage instructions. | README documents the project structure or architecture. | .gitignore is present.,No automated tests were detected. | No CI workflow was detected. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly.,Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.,Build a core automated test suite. | Expose a demo or homepage link when relevant.
GreenEscape,MatALass/GreenEscape,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 25.30/100 (weak). Primary language: Python. Detected issues: 9. Confidence: 0.80.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",4,4,3,3,4,README is present with approximately 453 words. | README includes installation or setup guidance. | .gitignore is present. | Repository exposes a homepage or demo URL.,README does not clearly explain how to run or use the project. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected.,Missing automated tests weakens engineering credibility significantly. | Committed __pycache__ folders reduce professionalism and should be cleaned immediately. | Overall repository quality is currently too low for safe portfolio presentation.,Add a usage section with concrete run examples. | Remove Python cache artifacts from version control. | Add a basic GitHub Actions workflow for validation.,Document exactly how to run and use the project. | Build a core automated test suite. | Introduce a clearer source-code structure. | Delete committed __pycache__ directories.
MatALass,MatALass/MatALass,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 18.15/100 (weak). Primary language: unknown. Detected issues: 8. Confidence: 0.75.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",2,8,2,5,5,README is present with approximately 287 words. | README documents the project structure or architecture.,README does not clearly explain installation or setup. | README does not clearly explain how to run or use the project. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | .gitignore is missing. | Repository description is missing or empty on GitHub. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add a usage section with concrete run examples. | Add installation/setup commands to the README. | Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation. | Add a concise GitHub repository description.,Document exactly how to run and use the project. | Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Add a concise GitHub description.
merge-tactics-optimizer,MatALass/merge-tactics-optimizer,"This repository has some useful signals, but it is not yet strong enough for confident portfolio presentation. Final score: 56.95/100 (fair). Primary language: Python. Detected issues: 4. Confidence: 0.80.",MERGE_OR_REPOSITION,"The repository contains some useful elements, but its current delivery is not strong enough on its own. It may be better improved, repositioned, or merged with a related project.","Weak recruiter signal. The repository may reflect effort, but the presentation and engineering quality are not yet convincing.",6,3,1,2,2,Repository uses a dedicated src/ directory. | README is present with approximately 775 words. | README includes installation or setup guidance. | README includes usage instructions. | README documents the project structure or architecture. | .gitignore is present.,No automated tests were detected. | No CI workflow was detected. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly.,Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.,Build a core automated test suite. | Expose a demo or homepage link when relevant.
ML_Football,MatALass/ML_Football,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 28.10/100 (weak). Primary language: Jupyter Notebook. Detected issues: 9. Confidence: 0.75.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",4,6,2,3,4,README is present with approximately 119 words. | README includes installation or setup guidance. | README includes usage instructions. | README documents the project structure or architecture.,README exists but remains too short for strong portfolio communication. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | .gitignore is missing. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.,Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Expose a demo or homepage link when relevant.
morpion-ultime,MatALass/morpion-ultime,This repository is promising but still needs several improvements before it should be featured confidently. Final score: 65.75/100 (good). Primary language: JavaScript. Detected issues: 4. Confidence: 1.00.,KEEP_AND_IMPROVE,"The repository has real value and should remain visible, but targeted improvements would make it significantly safer and stronger for portfolio use.","Mixed recruiter signal. The project may have value, but the current delivery still creates doubt.",12,2,0,0,1,Repository exposes a top-level tests/ directory. | README is present with approximately 401 words. | README includes installation or setup guidance. | README includes usage instructions. | README documents the project structure or architecture. | Automated tests detected (1 test file(s)). | Testing framework(s) detected: vitest. | CI appears to run automated tests. | CI includes linting or static validation checks. | .gitignore is present. | Repository exposes a homepage or demo URL. | Documentation assets or screenshots were detected.,Repository lacks a clearly identified main code directory. | Detected test baseline is still very small.,,,Introduce a clearer source-code structure.
network-flow-algorithms,MatALass/network-flow-algorithms,This repository is promising but still needs several improvements before it should be featured confidently. Final score: 62.80/100 (good). Primary language: Python. Detected issues: 4. Confidence: 0.85.,MERGE_OR_REPOSITION,"The repository contains some useful elements, but its current delivery is not strong enough on its own. It may be better improved, repositioned, or merged with a related project.","Mixed recruiter signal. The project may have value, but the current delivery still creates doubt.",6,3,1,2,2,Repository uses a dedicated src/ directory. | README is present with approximately 255 words. | README includes installation or setup guidance. | README includes usage instructions. | .gitignore is present. | Documentation assets or screenshots were detected.,No automated tests were detected. | No CI workflow was detected. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly.,Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.,Build a core automated test suite. | Expose a demo or homepage link when relevant.
Puissance4,MatALass/Puissance4,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 28.00/100 (weak). Primary language: Python. Detected issues: 8. Confidence: 0.75.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",2,6,2,4,4,README is present with approximately 132 words. | README includes usage instructions.,README does not clearly explain installation or setup. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | .gitignore is missing. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.,Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Expose a demo or homepage link when relevant.
repo-audit,MatALass/repo-audit,"This repository is strong overall, with a good technical base and a few improvement opportunities. Final score: 75.60/100 (strong). Primary language: Python. Detected issues: 2. Confidence: 1.00.",KEEP_AND_IMPROVE,"The repository has real value and should remain visible, but targeted improvements would make it significantly safer and stronger for portfolio use.","Positive recruiter signal. The repository is credible, but a few delivery improvements would make it safer to highlight prominently.",10,1,0,0,0,Repository uses a dedicated src/ directory. | Repository exposes a top-level tests/ directory. | README is present with approximately 148 words. | README includes installation or setup guidance. | README includes usage instructions. | Automated tests detected (3 test file(s)). | Testing framework(s) detected: pytest. | CI appears to run automated tests. | CI includes linting or static validation checks. | .gitignore is present.,No homepage or demo link was detected.,,,
repo_auditor,MatALass/repo_auditor,This repository is promising but still needs several improvements before it should be featured confidently. Final score: 73.35/100 (good). Primary language: Python. Detected issues: 4. Confidence: 0.95.,KEEP_AND_IMPROVE,"The repository has real value and should remain visible, but targeted improvements would make it significantly safer and stronger for portfolio use.","Mixed recruiter signal. The project may have value, but the current delivery still creates doubt.",9,5,0,5,4,Repository uses a dedicated src/ directory. | Repository exposes a top-level tests/ directory. | README is present with approximately 716 words. | README includes installation or setup guidance. | README includes usage instructions. | README documents the project structure or architecture. | Automated tests detected (17 test file(s)). | Testing framework(s) detected: pytest. | .gitignore is present.,Tests exist but do not appear to be enforced in CI. | No CI workflow was detected. | Generated build or cache artifacts appear to be committed. | Repository description is missing or empty on GitHub. | No homepage or demo link was detected.,,Delete generated build/package artifacts from the repository. | Add a basic GitHub Actions workflow for validation. | Connect the existing tests to CI. | Add a concise GitHub repository description. | Add a homepage or demo link if the project has a runnable output.,Run automated tests in CI. | Remove generated build/cache artifacts. | Add a concise GitHub description. | Expose a demo or homepage link when relevant.
school-bus-dashboard,MatALass/school-bus-dashboard,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 34.45/100 (weak). Primary language: Python. Detected issues: 8. Confidence: 0.75.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",4,6,2,2,4,README is present with approximately 294 words. | README includes installation or setup guidance. | README includes usage instructions. | README documents the project structure or architecture.,Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | .gitignore is missing. | Repository contains oversized files that reduce delivery quality. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation.,Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Review large committed files and keep only necessary assets.
Signature-carre-des-canotiers,MatALass/Signature-carre-des-canotiers,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 33.90/100 (weak). Primary language: HTML. Detected issues: 8. Confidence: 0.85.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",4,6,2,3,3,README is present with approximately 114 words. | README includes usage instructions. | .gitignore is present. | Documentation assets or screenshots were detected.,README exists but remains too short for strong portfolio communication. | README does not clearly explain installation or setup. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | Generated build or cache artifacts appear to be committed.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Delete generated build/package artifacts from the repository. | Add a basic GitHub Actions workflow for validation.,Build a core automated test suite. | Introduce a clearer source-code structure. | Remove generated build/cache artifacts.
Space-Jumper,MatALass/Space-Jumper,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 26.20/100 (weak). Primary language: Python. Detected issues: 8. Confidence: 0.75.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",3,6,3,4,4,README is present with approximately 129 words. | README includes usage instructions. | README documents the project structure or architecture.,README does not clearly explain installation or setup. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | .gitignore is missing. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly. | Committed __pycache__ folders reduce professionalism and should be cleaned immediately. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a proper .gitignore file. | Remove Python cache artifacts from version control. | Add a basic GitHub Actions workflow for validation.,Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Delete committed __pycache__ directories.
Space_Jumper_Website,MatALass/Space_Jumper_Website,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 31.40/100 (weak). Primary language: HTML. Detected issues: 9. Confidence: 0.75.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",4,7,2,4,5,README is present with approximately 155 words. | README includes usage instructions. | README documents the project structure or architecture. | Documentation assets or screenshots were detected.,README does not clearly explain installation or setup. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | .gitignore is missing. | Repository contains oversized files that reduce delivery quality. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.,Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Review large committed files and keep only necessary assets. | Expose a demo or homepage link when relevant.
Tetris_Game,MatALass/Tetris_Game,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 0.00/100 (weak). Primary language: Python. Detected issues: 9. Confidence: 0.60.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",0,7,4,5,6,,Repository does not include a README. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | .gitignore is missing. | Repository description is missing or empty on GitHub. | No homepage or demo link was detected.,Missing README is a major blocker for both delivery and portfolio visibility. | Missing automated tests weakens engineering credibility significantly. | Committed __pycache__ folders reduce professionalism and should be cleaned immediately. | Overall repository quality is currently too low for safe portfolio presentation.,"Write a complete README with setup, usage, and project purpose. | Add a proper .gitignore file. | Remove Python cache artifacts from version control. | Add a basic GitHub Actions workflow for validation. | Add a concise GitHub repository description.",Write a complete README. | Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Delete committed __pycache__ directories. | Add a concise GitHub description.
UML-Project,MatALass/UML-Project,"This repository has some useful signals, but it is not yet strong enough for confident portfolio presentation. Final score: 46.55/100 (fair). Primary language: Vue. Detected issues: 6. Confidence: 0.85.",ARCHIVE_PUBLIC,"The repository is currently too weak to feature, but it may still remain public as an archive or learning artifact if it does not confuse the portfolio narrative.","Weak recruiter signal. The repository may reflect effort, but the presentation and engineering quality are not yet convincing.",6,4,1,3,3,Repository uses a dedicated src/ directory. | README is present with approximately 138 words. | README includes installation or setup guidance. | README documents the project structure or architecture. | .gitignore is present. | Documentation assets or screenshots were detected.,README does not clearly explain how to run or use the project. | No automated tests were detected. | No CI workflow was detected. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly.,Add a usage section with concrete run examples. | Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.,Document exactly how to run and use the project. | Build a core automated test suite. | Expose a demo or homepage link when relevant.
vct-emea-kickoff-simulator,MatALass/vct-emea-kickoff-simulator,"This repository has some useful signals, but it is not yet strong enough for confident portfolio presentation. Final score: 53.80/100 (fair). Primary language: Python. Detected issues: 4. Confidence: 0.80.",MERGE_OR_REPOSITION,"The repository contains some useful elements, but its current delivery is not strong enough on its own. It may be better improved, repositioned, or merged with a related project.","Weak recruiter signal. The repository may reflect effort, but the presentation and engineering quality are not yet convincing.",6,3,1,1,1,Repository uses a dedicated src/ directory. | README is present with approximately 227 words. | README includes installation or setup guidance. | README includes usage instructions. | README documents the project structure or architecture. | .gitignore is present.,No automated tests were detected. | No CI workflow was detected. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly.,Add a basic GitHub Actions workflow for validation.,Build a core automated test suite.
